,smoothed_response,character_change,object_change,landmark_change,location_change,time_of_day_change,sound_presence_change
179,0.01546085792922162,0.0,0.0,0.0,0.0,0.0,0.0
180,0.016233162909360024,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
181,0.018978090815296448,0.0,0.0,0.0,0.0,0.0,0.0
182,0.023603198698857727,0.0,0.0,0.0,0.0,0.0,0.0
183,0.030027976115861225,0.0,0.0,0.0,0.0,0.0,0.0
184,0.03804244525584977,0.0,0.0,0.0,0.0,0.0,0.0
185,0.04741548880956243,0.0,0.0,0.0,0.0,0.0,0.0
186,0.05670449034510798,0.0,0.0,0.0,0.0,0.0,0.0
187,0.06353384596359476,0.0,0.09016696346674323,0.15249857033260467,0.14002800840280097,0.0,0.0
188,0.06590006432652364,0.0,0.0,0.0,0.0,0.0,0.0
189,0.06198638007808829,0.0,0.0,0.0,0.0,0.0,0.0
190,0.053018904116956235,0.0,0.0,0.0,0.0,0.0,0.0
191,0.04169977301661116,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0311228088371346,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
193,0.022319979964540645,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
194,0.015293596231198631,0.0,0.18033392693348646,0.0,0.0,0.0,0.0
195,0.00955607476462147,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
196,0.005326067607410292,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0024673380305741364,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0008461694953172353,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0001869028590155712,0.0,0.0,0.0,0.0,0.0,0.0
200,1.6652715966587098e-07,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
202,7.450362412228666e-05,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0008108662487568775,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0022475806537622985,0.0,0.0,0.0,0.0,0.0,0.0
205,0.004613848723221855,0.0,0.0,0.0,0.0,0.0,0.0
206,0.007462566379875794,0.0,0.0,0.0,0.0,0.0,0.0
207,0.009514313718521288,0.0,0.0,0.0,0.0,0.0,0.0
208,0.009792816426620242,0.0,0.0,0.0,0.0,0.0,0.0
209,0.008400460040448574,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
210,0.00658678783136892,0.0,0.0,0.0,0.0,0.0,0.0
211,0.005598349875610456,0.0,0.0,0.0,0.0,0.0,0.0
212,0.005377887920145044,0.0,0.0,0.0,0.0,0.0,0.0
213,0.005106452421824084,0.0,0.09016696346674323,0.0,0.0,0.0,0.1270001270001905
214,0.004800685642127328,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
215,0.004288188518585886,0.0,0.0,0.0,0.0,0.0,0.0
216,0.004282171027333247,0.0,0.0,0.0,0.0,0.0,0.0
217,0.004830106357327714,0.0,0.0,0.0,0.0,0.0,0.0
218,0.005949797705647984,0.0,0.0,0.0,0.0,0.0,0.0
219,0.007836430288847248,0.0,0.0,0.0,0.0,0.0,0.0
220,0.010639776693241579,0.0,0.0,0.0,0.0,0.0,0.0
221,0.015332268362026856,0.0,0.0,0.0,0.0,0.0,0.0
222,0.02097426763607611,0.0,0.0,0.0,0.0,0.0,0.0
223,0.02532497367190345,0.0,0.0,0.0,0.0,0.0,0.0
224,0.027571540992088493,0.0,0.0,0.0,0.0,0.0,0.0
225,0.028803450775380074,0.0,0.0,0.0,0.0,0.0,0.0
226,0.03043472746236132,0.0,0.0,0.0,0.0,0.0,0.0
227,0.033176898451493256,0.0,0.0,0.0,0.0,0.0,0.0
228,0.03763497230701464,0.0,0.0,0.0,0.0,0.0,0.0
229,0.042769066600150764,0.0,0.0,0.0,0.14002800840280097,0.0,0.0
230,0.0461916963704117,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
231,0.04517388952093265,0.0,0.0,0.0,0.0,0.0,0.0
232,0.040083522463100985,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
233,0.03302372421086317,0.0,0.0,0.0,0.0,0.0,0.0
